"Title","Public Sector: Liability: Long-Term Debt Securities; Issued by UK Central Government: (AF.32N1): Â£m: CP: NSA"
"CDID","J8MV"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","302188"
"1998","298624"
"1999","291522"
"2000","281741"
"2001","266658"
"2002","269977"
"2003","299751"
"2004","341449"
"2005","383311"
"2006","427687"
"2007","467838"
"2008","566944"
"2009","585707"
"2010","790707"
"2011","847387"
"2012","864360"
"2013","959224"
"2014","1020814"
"2015","1038002"
"2016","1032263"
"2017","1065304"
"2018","1105082"
"2019","1116066"
"2020","1192101"
"2021","1227481"
"2022","1363882"
"2023","1625583"
"2024","1866330"
"1997 Q2","299433"
"1997 Q3","299608"
"1997 Q4","302188"
"1998 Q1","294635"
"1998 Q2","296722"
"1998 Q3","299580"
"1998 Q4","298624"
"1999 Q1","290765"
"1999 Q2","294593"
"1999 Q3","289898"
"1999 Q4","291522"
"2000 Q1","285349"
"2000 Q2","290086"
"2000 Q3","286047"
"2000 Q4","281741"
"2001 Q1","275389"
"2001 Q2","278599"
"2001 Q3","274854"
"2001 Q4","266658"
"2002 Q1","268508"
"2002 Q2","266056"
"2002 Q3","266172"
"2002 Q4","269977"
"2003 Q1","277475"
"2003 Q2","280784"
"2003 Q3","295584"
"2003 Q4","299751"
"2004 Q1","309316"
"2004 Q2","322301"
"2004 Q3","333585"
"2004 Q4","341449"
"2005 Q1","354932"
"2005 Q2","364597"
"2005 Q3","379777"
"2005 Q4","383311"
"2006 Q1","398016"
"2006 Q2","414773"
"2006 Q3","421251"
"2006 Q4","427687"
"2007 Q1","432466"
"2007 Q2","451848"
"2007 Q3","460879"
"2007 Q4","467838"
"2008 Q1","469065"
"2008 Q2","494017"
"2008 Q3","515318"
"2008 Q4","566944"
"2009 Q1","584702"
"2009 Q2","563045"
"2009 Q3","574200"
"2009 Q4","585707"
"2010 Q1","666828"
"2010 Q2","705272"
"2010 Q3","761860"
"2010 Q4","790707"
"2011 Q1","803503"
"2011 Q2","851205"
"2011 Q3","871345"
"2011 Q4","847387"
"2012 Q1","824784"
"2012 Q2","827251"
"2012 Q3","834406"
"2012 Q4","864360"
"2013 Q1","862051"
"2013 Q2","901740"
"2013 Q3","918277"
"2013 Q4","959224"
"2014 Q1","959387"
"2014 Q2","992924"
"2014 Q3","993982"
"2014 Q4","1020814"
"2015 Q1","1002204"
"2015 Q2","1027701"
"2015 Q3","1021937"
"2015 Q4","1038002"
"2016 Q1","1029595"
"2016 Q2","1061663"
"2016 Q3","1026407"
"2016 Q4","1032263"
"2017 Q1","1031668"
"2017 Q2","1066515"
"2017 Q3","1057409"
"2017 Q4","1065304"
"2018 Q1","1069017"
"2018 Q2","1091283"
"2018 Q3","1083346"
"2018 Q4","1105082"
"2019 Q1","1099414"
"2019 Q2","1120065"
"2019 Q3","1093130"
"2019 Q4","1116066"
"2020 Q1","1112404"
"2020 Q2","1123172"
"2020 Q3","1152837"
"2020 Q4","1192101"
"2021 Q1","1178857"
"2021 Q2","1204483"
"2021 Q3","1215480"
"2021 Q4","1227481"
"2022 Q1","1244004"
"2022 Q2","1299568"
"2022 Q3","1298735"
"2022 Q4","1363882"
"2023 Q1","1415053"
"2023 Q2","1510030"
"2023 Q3","1545748"
"2023 Q4","1625583"
"2024 Q1","1651113"
"2024 Q2","1735567"
"2024 Q3","1790060"
"2024 Q4","1866330"
"2025 Q1","1929110"
"2025 Q2","2017054"
