"Title","Public Sector: Liability: Long-Term Debt Securities; Issued by UK local government: (AF.32N2): Â£m: CP: NSA"
"CDID","J8K9"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","706"
"1998","787"
"1999","785"
"2000","773"
"2001","773"
"2002","826"
"2003","842"
"2004","616"
"2005","829"
"2006","1189"
"2007","1180"
"2008","1110"
"2009","1027"
"2010","1010"
"2011","1605"
"2012","2282"
"2013","2999"
"2014","3495"
"2015","4085"
"2016","4447"
"2017","4150"
"2018","4146"
"2019","4104"
"2020","4406"
"2021","4412"
"2022","3180"
"2023","3169"
"2024","3085"
"1997 Q2","718"
"1997 Q3","706"
"1997 Q4","706"
"1998 Q1","760"
"1998 Q2","760"
"1998 Q3","787"
"1998 Q4","787"
"1999 Q1","785"
"1999 Q2","785"
"1999 Q3","785"
"1999 Q4","785"
"2000 Q1","790"
"2000 Q2","768"
"2000 Q3","770"
"2000 Q4","773"
"2001 Q1","782"
"2001 Q2","782"
"2001 Q3","799"
"2001 Q4","773"
"2002 Q1","779"
"2002 Q2","779"
"2002 Q3","826"
"2002 Q4","826"
"2003 Q1","825"
"2003 Q2","825"
"2003 Q3","841"
"2003 Q4","842"
"2004 Q1","421"
"2004 Q2","421"
"2004 Q3","421"
"2004 Q4","616"
"2005 Q1","616"
"2005 Q2","830"
"2005 Q3","830"
"2005 Q4","829"
"2006 Q1","1017"
"2006 Q2","1011"
"2006 Q3","1036"
"2006 Q4","1189"
"2007 Q1","1188"
"2007 Q2","1188"
"2007 Q3","1193"
"2007 Q4","1180"
"2008 Q1","1118"
"2008 Q2","1112"
"2008 Q3","1112"
"2008 Q4","1110"
"2009 Q1","1027"
"2009 Q2","1027"
"2009 Q3","1027"
"2009 Q4","1027"
"2010 Q1","1027"
"2010 Q2","1013"
"2010 Q3","1010"
"2010 Q4","1010"
"2011 Q1","1007"
"2011 Q2","1005"
"2011 Q3","1605"
"2011 Q4","1605"
"2012 Q1","1906"
"2012 Q2","1306"
"2012 Q3","2294"
"2012 Q4","2282"
"2013 Q1","2301"
"2013 Q2","2701"
"2013 Q3","3000"
"2013 Q4","2999"
"2014 Q1","2999"
"2014 Q2","3493"
"2014 Q3","3495"
"2014 Q4","3495"
"2015 Q1","3498"
"2015 Q2","4013"
"2015 Q3","4086"
"2015 Q4","4085"
"2016 Q1","4085"
"2016 Q2","4085"
"2016 Q3","4077"
"2016 Q4","4447"
"2017 Q1","4447"
"2017 Q2","4459"
"2017 Q3","4456"
"2017 Q4","4150"
"2018 Q1","4146"
"2018 Q2","4146"
"2018 Q3","4146"
"2018 Q4","4146"
"2019 Q1","4109"
"2019 Q2","4069"
"2019 Q3","4067"
"2019 Q4","4104"
"2020 Q1","4099"
"2020 Q2","4042"
"2020 Q3","4287"
"2020 Q4","4406"
"2021 Q1","4399"
"2021 Q2","4399"
"2021 Q3","4393"
"2021 Q4","4412"
"2022 Q1","4407"
"2022 Q2","4407"
"2022 Q3","3896"
"2022 Q4","3180"
"2023 Q1","3174"
"2023 Q2","3174"
"2023 Q3","3169"
"2023 Q4","3169"
"2024 Q1","3164"
"2024 Q2","3164"
"2024 Q3","3158"
"2024 Q4","3085"
"2025 Q1","3069"
"2025 Q2","2835"
