"Title","Public Sector: Asset: Long-Term Loans: (AF.42): Â£m: CP: NSA"
"CDID","J6FS"
"Source dataset ID","PUSF"
"PreUnit",""
"Unit",""
"Release date","21-10-2025"
"Next release","21 November 2025"
"Important notes",
"1997","13862"
"1998","13890"
"1999","16600"
"2000","20249"
"2001","25259"
"2002","26362"
"2003","28280"
"2004","29666"
"2005","31417"
"2006","31998"
"2007","34949"
"2008","56723"
"2009","65792"
"2010","135528"
"2011","131746"
"2012","133529"
"2013","135340"
"2014","136712"
"2015","129767"
"2016","158037"
"2017","236407"
"2018","257343"
"2019","257178"
"2020","277233"
"2021","348252"
"2022","353555"
"2023","351389"
"2024","321912"
"1997 Q2","13353"
"1997 Q3","13492"
"1997 Q4","13862"
"1998 Q1","13876"
"1998 Q2","13833"
"1998 Q3","13961"
"1998 Q4","13890"
"1999 Q1","14386"
"1999 Q2","15227"
"1999 Q3","15955"
"1999 Q4","16600"
"2000 Q1","17459"
"2000 Q2","18561"
"2000 Q3","19982"
"2000 Q4","20249"
"2001 Q1","21665"
"2001 Q2","22525"
"2001 Q3","23521"
"2001 Q4","25259"
"2002 Q1","24554"
"2002 Q2","25303"
"2002 Q3","26176"
"2002 Q4","26362"
"2003 Q1","27630"
"2003 Q2","28030"
"2003 Q3","28505"
"2003 Q4","28280"
"2004 Q1","28834"
"2004 Q2","29455"
"2004 Q3","29912"
"2004 Q4","29666"
"2005 Q1","30055"
"2005 Q2","30675"
"2005 Q3","31437"
"2005 Q4","31417"
"2006 Q1","31778"
"2006 Q2","32305"
"2006 Q3","32512"
"2006 Q4","31998"
"2007 Q1","32878"
"2007 Q2","34012"
"2007 Q3","35118"
"2007 Q4","34949"
"2008 Q1","36735"
"2008 Q2","37773"
"2008 Q3","57916"
"2008 Q4","56723"
"2009 Q1","61120"
"2009 Q2","64386"
"2009 Q3","65605"
"2009 Q4","65792"
"2010 Q1","106401"
"2010 Q2","106607"
"2010 Q3","135585"
"2010 Q4","135528"
"2011 Q1","135053"
"2011 Q2","134518"
"2011 Q3","133541"
"2011 Q4","131746"
"2012 Q1","133732"
"2012 Q2","134518"
"2012 Q3","134794"
"2012 Q4","133529"
"2013 Q1","135260"
"2013 Q2","136993"
"2013 Q3","137259"
"2013 Q4","135340"
"2014 Q1","137525"
"2014 Q2","139800"
"2014 Q3","140178"
"2014 Q4","136712"
"2015 Q1","139681"
"2015 Q2","141981"
"2015 Q3","142689"
"2015 Q4","129767"
"2016 Q1","132994"
"2016 Q2","136611"
"2016 Q3","138381"
"2016 Q4","158037"
"2017 Q1","194527"
"2017 Q2","202472"
"2017 Q3","220320"
"2017 Q4","236407"
"2018 Q1","260978"
"2018 Q2","261088"
"2018 Q3","264420"
"2018 Q4","257343"
"2019 Q1","260525"
"2019 Q2","260707"
"2019 Q3","261498"
"2019 Q4","257178"
"2020 Q1","254771"
"2020 Q2","260972"
"2020 Q3","274496"
"2020 Q4","277233"
"2021 Q1","262267"
"2021 Q2","276612"
"2021 Q3","280390"
"2021 Q4","348252"
"2022 Q1","350017"
"2022 Q2","356195"
"2022 Q3","362073"
"2022 Q4","353555"
"2023 Q1","348243"
"2023 Q2","350055"
"2023 Q3","361696"
"2023 Q4","351389"
"2024 Q1","350654"
"2024 Q2","351506"
"2024 Q3","341872"
"2024 Q4","321912"
"2025 Q1","314357"
"2025 Q2","314341"
