"Date","Monthly average of amounts outstanding (on Wednesdays) of Bank of England Banking Department sterling reserves balance liabilities (in sterling millions) not seasonally adjusted              [a]             LPMBL22"
"30 Sep 25","659537"
"31 Aug 25","671099"
"31 Jul 25","676474"
"30 Jun 25","676441"
"31 May 25","693517"
"30 Apr 25","692923"
"31 Mar 25","697244"
"28 Feb 25","710511"
"31 Jan 25","711916"
"31 Dec 24","717631"
"30 Nov 24","728574"
"31 Oct 24","727107"
"30 Sep 24","742407"
"31 Aug 24","758209"
"31 Jul 24","759800"
"30 Jun 24","767821"
"31 May 24","765834"
"30 Apr 24","787534"
"31 Mar 24","790084"
"29 Feb 24","787895"
"31 Jan 24","794081"
"31 Dec 23","804025"
"30 Nov 23","806133"
"31 Oct 23","815552"
"30 Sep 23","820247"
"31 Aug 23","839545"
"31 Jul 23","858807"
"30 Jun 23","876014"
"31 May 23","883317"
"30 Apr 23","894516"
"31 Mar 23","907540"
"28 Feb 23","913734"
"31 Jan 23","920933"
"31 Dec 22","935331"
"30 Nov 22","951418"
"31 Oct 22","952491"
"30 Sep 22","943049"
"31 Aug 22","950478"
"31 Jul 22","945666"
"30 Jun 22","951450"
"31 May 22","952602"
"30 Apr 22","952035"
"31 Mar 22","951949"
"28 Feb 22","975318"
"31 Jan 22","976913"
"31 Dec 21","970294"
"30 Nov 21","965104"
"31 Oct 21","899182"
"30 Sep 21","853501"
"31 Aug 21","851666"
"31 Jul 21","843451"
"30 Jun 21","828269"
"31 May 21","827960"
"30 Apr 21","808703"
"31 Mar 21","798774"
"28 Feb 21","792095"
"31 Jan 21","771576"
"31 Dec 20","769729"
"30 Nov 20","766641"
"31 Oct 20","746770"
"30 Sep 20","725714"
"31 Aug 20","727231"
"31 Jul 20","705222"
"30 Jun 20","680497"
"31 May 20","635849"
"30 Apr 20","552371"
"31 Mar 20","468995"
"29 Feb 20","475961"
"31 Jan 20","474445"
"31 Dec 19","478799"
"30 Nov 19","484971"
"31 Oct 19","483996"
"30 Sep 19","471211"
"31 Aug 19","484818"
"31 Jul 19","486224"
"30 Jun 19","489726"
"31 May 19","492419"
"30 Apr 19","488981"
"31 Mar 19","475034"
"28 Feb 19","490517"
"31 Jan 19","487824"
"31 Dec 18","485767"
"30 Nov 18","489496"
"31 Oct 18","491451"
"30 Sep 18","488734"
"31 Aug 18","489717"
"31 Jul 18","487315"
"30 Jun 18","488956"
"31 May 18","493439"
"30 Apr 18","491975"
"31 Mar 18","477273"
"28 Feb 18","481382"
"31 Jan 18","469224"
"31 Dec 17","461471"
"30 Nov 17","457683"
"31 Oct 17","456269"
"30 Sep 17","441318"
"31 Aug 17","447672"
"31 Jul 17","446961"
"30 Jun 17","439982"
"31 May 17","437395"
"30 Apr 17","431208"
"31 Mar 17","415059"
"28 Feb 17","399476"
"31 Jan 17","380671"
"31 Dec 16","367544"
"30 Nov 16","352619"
"31 Oct 16","336625"
"30 Sep 16","320935"
"31 Aug 16","325692"
"31 Jul 16","318926"
"30 Jun 16","316133"
"31 May 16","317832"
"30 Apr 16","318432"
"31 Mar 16","314101"
"29 Feb 16","315819"
"31 Jan 16","313494"
"31 Dec 15","305858"
"30 Nov 15","315332"
"31 Oct 15","315244"
"30 Sep 15","308627"
"31 Aug 15","317491"
"31 Jul 15","316355"
"30 Jun 15","315525"
"31 May 15","315381"
"30 Apr 15","308012"
"31 Mar 15","305112"
"28 Feb 15","306701"
"31 Jan 15","303573"
"31 Dec 14","300587"
"30 Nov 14","304391"
"31 Oct 14","299984"
"30 Sep 14","292432"
"31 Aug 14","303570"
"31 Jul 14","303621"
"30 Jun 14","304105"
"31 May 14","304891"
"30 Apr 14","301449"
"31 Mar 14","300341"
"28 Feb 14","304469"
"31 Jan 14","300032"
"31 Dec 13","298828"
"30 Nov 13","302225"
"31 Oct 13","299561"
"30 Sep 13","295104"
"31 Aug 13","296482"
"31 Jul 13","293575"
"30 Jun 13","289740"
"31 May 13","288784"
"30 Apr 13","285130"
"31 Mar 13","278693"
"28 Feb 13","277302"
"31 Jan 13","274377"
"31 Dec 12","275684"
"30 Nov 12","281259"
"31 Oct 12","274873"
"30 Sep 12","262294"
"31 Aug 12","251655"
"31 Jul 12","235349"
"30 Jun 12","228207"
"31 May 12","230390"
"30 Apr 12","218099"
"31 Mar 12","202273"
"29 Feb 12","189319"
"31 Jan 12","173512"
"31 Dec 11","163905"
"30 Nov 11","151509"
"31 Oct 11","131759"
"30 Sep 11","124730"
"31 Aug 11","127632"
"31 Jul 11","127196"
"30 Jun 11","128903"
"31 May 11","131523"
"30 Apr 11","132537"
"31 Mar 11","135420"
"28 Feb 11","138500"
"31 Jan 11","139245"
"31 Dec 10","139953"
"30 Nov 10","143494"
"31 Oct 10","143153"
"30 Sep 10","144380"
"31 Aug 10","150370"
"31 Jul 10","150051"
"30 Jun 10","149737"
"31 May 10","150950"
"30 Apr 10","151883"
"31 Mar 10","152275"
"28 Feb 10","156405"
"31 Jan 10","153796"
"31 Dec 09","145830"
"30 Nov 09","148830"
"31 Oct 09","143626"
"30 Sep 09","137382"
"31 Aug 09","142932"
"31 Jul 09","152083"
"30 Jun 09","125383"
"31 May 09","98689"
"30 Apr 09","71314"
"31 Mar 09","40758"
"28 Feb 09","39467"
"31 Jan 09","40425"
"31 Dec 08","43098"
"30 Nov 08","45621"
"31 Oct 08","48367"
"30 Sep 08","36309"
"31 Aug 08","28696"
"31 Jul 08","27942"
"30 Jun 08","28319"
"31 May 08","27511"
"30 Apr 08","26647"
"31 Mar 08","25688"
"29 Feb 08","22801"
"31 Jan 08","23779"
"31 Dec 07","23868"
"30 Nov 07","23258"
"31 Oct 07","22706"
"30 Sep 07","24661"
"31 Aug 07","18339"
"31 Jul 07","22280"
"30 Jun 07","17940"
"31 May 07","17543"
"30 Apr 07","18148"
"31 Mar 07","17687"
"28 Feb 07","17671"
"31 Jan 07","18765"
"31 Dec 06","20205"
"30 Nov 06","17698"
"31 Oct 06","18725"
"30 Sep 06","18651"
"31 Aug 06","19374"
"31 Jul 06","20009"
"30 Jun 06","22089"
"31 May 06","24408"